"user_id","name","review_count","yelping_since","friends","useful","funny","cool","fans","elite","average_stars","compliment_hot","compliment_more","compliment_profile","compliment_cute","compliment_list","compliment_note","compliment_plain","compliment_cool","compliment_funny","compliment_writer","compliment_photos"
"lzlZwIpuSWXEnNS91wxjHw","Susan","1","2015-09-28","None","0","0","0","0","None","2.0","0","0","0","0","0","0","0","0","0","0","0"
"XvLBr-9smbI0m_a7dXtB7w","Daipayan","2","2015-09-05","None","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"QPT4Ud4H5sJVr68yXhoWFw","Andy","1","2016-07-21","None","0","0","0","0","None","4.0","0","0","0","0","0","0","0","0","0","0","0"
"i5YitlHZpf0B3R0s_8NVuw","Jonathan","19","2014-08-04","None","0","0","0","0","None","4.05","0","0","0","0","0","0","0","0","0","0","0"
"s4FoIXE_LSGviTHBe8dmcg","Shashank","3","2017-06-18","None","0","0","0","0","None","3.0","0","0","0","0","0","0","0","0","0","0","0"
"ZcsZdHLiJGVvDHVjeTYYnQ","Stacey X Joe","3","2014-08-27","None","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"h3p6aeVL7vrafSOM50SsCg","Lindsay","2","2016-02-02","None","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"EbJMotYYkq-iq-v1u8wCYA","Joshua","1","2013-03-20","None","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"nnB0AE1Cxp_0154xkhXelw","Mike","11","2014-07-11","None","8","0","0","1","None","2.77","0","0","0","0","0","0","0","0","0","0","0"
"XoEnrhtJc2pcdlQ09d8Oug","Mitch","4","2013-04-07","None","2","3","1","0","None","4.0","0","0","0","0","0","0","0","0","0","0","0"
"QDQTMYp2NocktWN5fHwfIg","Andrea","1","2017-03-25","None","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"Nq9WrJcCjQjHSoaUPZcPWg","F","10","2015-10-04","None","0","0","0","0","None","4.2","0","0","0","0","0","0","0","0","0","0","0"
"SgYDjNCecPidsRB_su5-tw","Jessica","6","2011-01-25","None","0","0","0","0","None","3.86","0","0","0","0","0","0","0","0","0","0","0"
"AUWHIxgZuL2h4svVLdUZaA","Alex","1","2017-08-23","None","0","0","0","0","None","2.0","0","0","0","0","0","0","0","0","0","0","0"
"jlCxOfVf_Ff4YgGov8Tm1g","Kara","1","2017-11-21","None","0","0","0","0","None","2.0","0","0","0","0","0","0","0","0","0","0","0"
"9u9a9JakFNHZksptLKPUrw","Teresa","2","2014-10-26","None","1","0","0","0","None","3.0","0","0","0","0","0","0","0","0","0","0","0"
"NfE1uHFWzzMyXkgBeEuR1A","Danielle","2","2015-07-19","None","2","0","0","0","None","1.0","0","0","0","0","0","0","0","0","0","0","0"
